InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
20165765-4bc3-4a45-9c22-44ff8fd303c5	0.0	I noticed my hair was getting too long. I tried to cut it myself, but failed. I put on my shoes and grabbed my keys. I went to the barber for a haircut.	He did a great job.	He told me to cut it myself.	0	0	0	0	0	0	0	0	0	0	0	0
97192a40-123a-45a6-a86b-85cedba472c0	0.1	Gina's grandma had made up beds for everyone. Gina's siblings slept with their grandma. There was no room for Gina in that bed. Her parents slept together in her mother twin bed.	Gina decided to sleep on the couch alone.	Gina climbed into her grandma's bed, and went to sleep.	0	0	0	0	0	0	0	1	0	0	0	0
68826e0d-2ad7-4fc5-b091-2ddd4b516293	0.1	Sue had a date on Thursday night. They went to a movie and got food after. She thought it went well and was excited for a second date. Unfortunately it's been a week and she hasn't heard from him.	Sue decides to forget the man.	Sue decides to go on a date with him again tomorrow.	0	0	0	0	0	0	0	1	0	0	0	0
2ee98af5-c528-432d-827d-a3b55d78a4b4	0.1	Jake loved to travel. He was planning a hiking trip to Montana. He bought lots of camping gear to prepare for the trip. Jake learned he couldn't go on the trip due to a business meeting.	He was very upset.	He was so excited.	0	1	0	0	0	0	0	0	0	0	0	0
d934a35e-b278-4c4c-9c10-6463a7a515cd	0.1	We went to a petting zoo together. My friend bought food to feed the animals. She tried to feed a carrot to a cow, but it bit her. She didn't even know cows would bite humans.	My friend had a less than fabulous time there.	My friend really enjoyed getting bitten by the cow.	0	0	0	0	0	0	0	0	0	0	1	0
16e6198f-e483-456a-aa28-127970eb88e7	0.2	Danny went to the gas station before work and filled up his car. When he got to work he decided to buy a coffee. At the register, he reached into his pocket and found nothing. He must have left his wallet on the top of his car.	Danny was upset with himself.	Danny was proud of what he had done.	0	1	0	0	0	0	0	1	0	0	0	0
fcda8c73-3eea-4c9e-a4d2-5daa960fdd22	0.2	I really wanted to make a snowman last week. There was plenty of time and snow. Unfortunately I didn't have any gloves good enough. I had lost all the pairs that wouldn't soak through.	Sadly I had to skip building a snowman.	Then I went out and built a snowman.	0	0	0	1	0	0	0	0	0	0	1	0
4e735352-5dfa-4436-a6cb-67cb60704261	0.2	While sitting on the bus he saw her standing on the corner. Her beauty was like none he'd ever seen. As he walked off the bus he wondered if he should have pursued her. He slowly took the elevator to his tenth story office.	He thought about her all day.	He felt relieved that he did not talk with her.	0	1	0	0	0	1	0	0	0	0	0	0
31e45c33-c41c-4a21-a958-b8994da32430	0.2	Jim worked at a sheet factory. He was the best employee there. He asked his boss for a raise. His boss said no.	Jim quit his job and found a new one the next day.	Jim thanked his boss for doing such a wonderful job.	0	1	0	0	0	1	0	0	0	0	0	0
22dc8183-9e6b-4835-9bc6-adab372b687d	0.2	Heather decided to call her grandma on her birthday. She dialed Grandma's phone number. The phone rang. Grandma answered the phone.	Hearing from Heather made her day.	She hung up on Heather and unplugged the phone.	0	0	0	0	0	1	0	0	0	1	0	0
add307eb-7446-49fe-874f-41f3c2e1c59a	0.2	Ana was driving home one night. Then she saw the Check Engine light on her dash. Worried, she pulled right into a mechanic's garage. The mechanic examined Ana's car for her.	The mechanic told her the light was just malfunctioning.	Ana then fixed the mechanic's car.	0	1	0	0	0	0	0	0	0	1	0	0
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	0.2	I used to drink soda all day. I started to get utis. Utis are painful. i had to find a way to make them stop.	I cut down on soda until I didn't drink it anymore.	I drank more soda to see whether that would help.	0	0	0	0	0	0	0	1	0	0	1	0
0bc68022-c47f-427b-8061-4bbf0d29dfe2	0.2	Jane closed her eyes and counted to twenty. Kate ran to hide in the cupboard. Jane already knew Kate's favorite hiding places. She took her time before approaching the cupboard.	She didn't want Kate to be disappointed.	Jane couldn't find Kate anywhere.	0	0	0	0	0	1	0	0	0	1	0	0
0e51b776-8663-4898-a7fc-9de66418ac7c	0.2	"I had to reprimand two employees that worked at different locations. I hated doing it and thought the matter was done with. Weeks later, one left a message about a question on paperwork. I phoned with: ""It's me"" and she said horrible things about me."	I was forced to fire the employee.	I gave her a raise, and a promotion.	0	0	0	1	0	0	0	1	0	0	0	0
ab7a1936-1d8a-4185-8f84-f3e94b5a9776	0.2	As soon as the light turned green, the cars accelerated. Jimmy took the lead until the third lap. Brian caught up and was ahead by a few feet. The lead became bigger since Brian's far was faster.	Brian was an expert race car driver.	Brian was not a very good driver.	0	0	0	1	0	0	0	0	0	0	1	0
80e4f129-45d6-4c48-a9e1-06efbdeb9ee9	0.2	Liz was watching her 4 and 6 year old nieces. She put them in her room to take a nap. They were very quiet so she thought they were asleep. When she checked on them an hour later they were not asleep.	Liz told them to go back to bed.	Liz was glad they were sleeping so well.	0	0	0	0	0	0	0	1	0	0	1	0
