word	count
decided	81
time	73
got	73
went	62
day	61
home	57
made	55
great	52
felt	52
new	50
found	49
friends	44
loved	38
became	35
go	33
money	31
back	31
dog	30
enjoyed	28
better	28
gave	27
told	26
mom	25
good	25
get	25
could	25
bought	25
upset	24
proud	24
next	24
much	24
friend	24
finally	24
away	24
would	23
took	23
sad	22
able	22
work	20
game	20
first	20
buy	20
one	19
house	19
fun	19
find	19
family	19
never	18
liked	18
eventually	18
called	18
thought	17
started	17
said	17
lot	17
left	17
later	17
asked	17
realized	16
ran	16
mother	16
help	16
grateful	16
food	16
excited	16
car	16
wanted	15
team	15
right	15
learned	15
didnt	15
best	15
well	14
soon	14
parents	14
man	14
disappointed	14
relieved	13
really	13
nice	13
everyone	13
dad	13
began	13
ate	13
teacher	12
store	12
night	12
came	12
yes	11
wonderful	11
woke	11
sister	11
people	11
lost	11
like	11
life	11
finished	11
ended	11
eat	11
come	11
brought	11
bad	11
two	10
turned	10
take	10
stopped	10
saved	10
rest	10
pleased	10
phone	10
make	10
kids	10
ice	10
getting	10
things	9
still	9
sick	9
school	9
police	9
going	9
fell	9
dinner	9
different	9
couldnt	9
caught	9
careful	9
another	9
whole	8
water	8
thrilled	8
test	8
spent	8
show	8
several	8
quickly	8
playing	8
passed	8
movie	8
less	8
knew	8
immediately	8
hours	8
favorite	8
even	8
embarrassed	8
date	8
cried	8
broke	8
big	8
angry	8
always	8
try	7
together	7
thanked	7
successful	7
sleep	7
shoes	7
put	7
puppy	7
played	7
old	7
offered	7
needed	7
morning	7
lunch	7
looking	7
looked	7
long	7
laughed	7
keep	7
im	7
husband	7
hurt	7
helped	7
girl	7
gift	7
future	7
feel	7
face	7
experience	7
every	7
drove	7
dollars	7
continued	7
class	7
children	7
bed	7
baby	7
apologized	7
anyway	7
anymore	7
accepted	7
year	6
walk	6
vowed	6
tried	6
tree	6
threw	6
terrible	6
second	6
screamed	6
scared	6
restaurant	6
relaxed	6
play	6
pizza	6
picked	6
pay	6
moved	6
loves	6
kept	6
gone	6
girlfriend	6
fired	6
father	6
enjoy	6
end	6
dress	6
computer	6
cake	6
boyfriend	6
books	6
beautiful	6
arrived	6
around	6
afterwards	6
worried	5
wished	5
wasnt	5
want	5
visit	5
used	5
tired	5
taking	5
stay	5
start	5
sold	5
shop	5
shocked	5
scored	5
saving	5
satisfied	5
run	5
room	5
ride	5
repaired	5
regretted	5
prize	5
plans	5
paper	5
music	5
meet	5
many	5
managed	5
making	5
luckily	5
little	5
lesson	5
kitten	5
hospital	5
hoped	5
hard	5
happily	5
grounded	5
glasses	5
games	5
frustrated	5
failed	5
enough	5
drink	5
done	5
dogs	5
doctor	5
died	5
delighted	5
delicious	5
daughter	5
cream	5
chose	5
choice	5
call	5
brother	5
broken	5
boss	5
book	5
beat	5
wouldnt	4
worker	4
worked	4
without	4
wife	4
week	4
wear	4
watched	4
watch	4
walking	4
walked	4
waited	4
video	4
use	4
us	4
trying	4
trash	4
thankful	4
surprised	4
stop	4
spot	4
somewhere	4
snow	4
set	4
save	4
ruined	4
returned	4
promised	4
place	4
pick	4
perfect	4
party	4
painting	4
paid	4
outside	4
online	4
often	4
niece	4
neighbor	4
name	4
mothers	4
minutes	4
meal	4
lots	4
listened	4
license	4
leave	4
kitchen	4
kiss	4
instead	4
inside	4
ill	4
hour	4
heart	4
give	4
ginas	4
full	4
fish	4
feet	4
ever	4
evening	4
earlier	4
driving	4
door	4
discovered	4
depressed	4
crushed	4
couple	4
cool	4
cook	4
coffee	4
cleaned	4
clean	4
child	4
career	4
calm	4
butter	4
business	4
burned	4
boy	4
box	4
bowl	4
bike	4
become	4
band	4
asleep	4
amazing	4
afraid	4
adopted	4
actually	4
working	3
wondered	3
weeks	3
wedding	3
weather	3
wearing	3
watching	3
virus	3
treats	3
train	3
tims	3
tie	3
therapist	3
thank	3
tasty	3
tasted	3
talk	3
taken	3
sure	3
success	3
story	3
stood	3
stage	3
spare	3
someone	3
smiled	3
small	3
slept	3
skills	3
shot	3
shelter	3
share	3
sent	3
seeing	3
running	3
road	3
report	3
remembered	3
remember	3
relationship	3
received	3
reached	3
rare	3
rain	3
pumpkin	3
project	3
professional	3
prepared	3
positive	3
pie	3
pictures	3
piano	3
perfectly	3
peace	3
paying	3
others	3
ordered	3
order	3
opened	3
obtained	3
number	3
news	3
neighbors	3
museum	3
move	3
mouse	3
months	3
missed	3
met	3
mess	3
maybe	3
match	3
married	3
mad	3
loving	3
losing	3
looks	3
look	3
longer	3
likes	3
letter	3
learn	3
late	3
large	3
lake	3
know	3
kite	3
kissed	3
key	3
jumped	3
jills	3
improved	3
impressed	3
hot	3
hit	3
hed	3
hated	3
happened	3
handed	3
hadnt	3
grandma	3
grade	3
goal	3
four	3
forward	3
football	3
foot	3
floor	3
flew	3
fixed	3
five	3
fire	3
field	3
feeling	3
explained	3
exactly	3
empty	3
emergency	3
eggs	3
egg	3
efforts	3
