word	count
decided	167
went	79
never	78
home	65
didnt	65
hated	50
felt	49
got	47
go	46
day	45
away	44
told	43
gave	39
dog	36
new	35
back	35
threw	34
time	31
like	29
get	28
instead	27
bought	27
disappointed	26
want	25
took	25
parents	25
left	25
friends	25
would	24
made	24
upset	23
could	23
car	23
ate	23
sad	22
put	22
loved	22
great	22
ever	21
thought	20
mother	20
mom	20
friend	20
walked	19
one	19
night	19
money	19
buy	19
wanted	18
proud	18
next	18
family	18
enjoyed	18
school	17
pizza	17
man	17
ice	17
anymore	17
another	17
angry	17
turned	16
found	16
eat	16
couldnt	16
asked	16
wasnt	15
take	15
play	15
cream	15
better	15
became	15
work	14
started	14
sister	14
ran	14
quit	14
much	14
laughed	14
house	14
hates	14
everyone	14
dinner	14
ashamed	14
well	13
restaurant	13
people	13
girlfriend	13
excited	13
alone	13
teacher	12
said	12
mad	12
good	12
game	12
every	12
class	12
wished	11
phone	11
leave	11
fun	11
find	11
done	11
date	11
dad	11
broke	11
around	11
team	10
spent	10
pleased	10
old	10
kept	10
drove	10
come	10
cake	10
best	10
water	9
used	9
playing	9
nice	9
movie	9
make	9
lot	9
liked	9
let	9
kids	9
husband	9
children	9
watched	8
vowed	8
terrible	8
store	8
sleep	8
room	8
relieved	8
really	8
outside	8
immediately	8
food	8
finished	8
face	8
eating	8
coffee	8
came	8
called	8
brother	8
began	8
baseball	8
without	7
whole	7
watch	7
visit	7
tree	7
test	7
swimming	7
stopped	7
sold	7
sandwich	7
ride	7
rest	7
raise	7
place	7
pie	7
need	7
movies	7
looked	7
long	7
know	7
keep	7
help	7
girl	7
games	7
fish	7
driver	7
decides	7
danced	7
continued	7
company	7
care	7
boss	7
woman	6
vacation	6
trash	6
thanked	6
talk	6
still	6
soon	6
show	6
sell	6
refused	6
music	6
lunch	6
looking	6
later	6
kitten	6
gift	6
dropped	6
drink	6
dont	6
dogs	6
cried	6
computer	6
big	6
bed	6
bad	6
baby	6
arrived	6
apple	6
always	6
afterwards	6
adoption	6
able	6
worker	5
wore	5
woke	5
wear	5
walk	5
video	5
two	5
together	5
thinks	5
tea	5
stop	5
stole	5
stayed	5
since	5
shopping	5
shoes	5
second	5
running	5
return	5
poured	5
plants	5
performance	5
pay	5
paper	5
mouse	5
missed	5
look	5
late	5
large	5
lake	5
invited	5
hysterically	5
huge	5
hot	5
hard	5
grandpa	5
going	5
girls	5
getting	5
football	5
flowers	5
fired	5
fell	5
father	5
everything	5
enough	5
drank	5
door	5
delighted	5
delicious	5
daughter	5
dance	5
congratulated	5
clean	5
chicken	5
chef	5
calm	5
bus	5
boyfriend	5
books	5
book	5
bike	5
behind	5
beach	5
apartment	5
anything	5
zoo	4
yelled	4
worse	4
window	4
wife	4
weight	4
week	4
wedding	4
wearing	4
vegetables	4
ugly	4
tv	4
try	4
think	4
swim	4
surprised	4
stupid	4
street	4
steak	4
stay	4
start	4
small	4
sick	4
shirt	4
sent	4
seen	4
sat	4
sams	4
right	4
report	4
realized	4
pool	4
played	4
pets	4
person	4
pair	4
order	4
opened	4
news	4
needed	4
men	4
meal	4
married	4
lost	4
little	4
life	4
letter	4
kitchen	4
jumped	4
jump	4
joined	4
johns	4
ill	4
ignored	4
hit	4
hear	4
hate	4
hair	4
grateful	4
grabbed	4
gone	4
golf	4
goes	4
glasses	4
give	4
garbage	4
free	4
forward	4
first	4
feeling	4
favorite	4
fast	4
experience	4
entire	4
embarrassed	4
eggs	4
early	4
driving	4
drive	4
dress	4
dollars	4
doctor	4
country	4
color	4
closed	4
close	4
changed	4
caught	4
call	4
business	4
burger	4
boy	4
boring	4
bored	4
boat	4
blue	4
birthday	4
beer	4
become	4
band	4
aya	4
asleep	4
animals	4
agreed	4
year	3
wrote	3
writing	3
wrist	3
worried	3
working	3
worked	3
wondered	3
werent	3
weather	3
watching	3
vegetarian	3
using	3
train	3
tractor	3
tims	3
throw	3
thrilled	3
three	3
tell	3
table	3
summer	3
stranger	3
spoke	3
snow	3
smell	3
skipped	3
singing	3
signed	3
shop	3
shark	3
shared	3
several	3
selfish	3
run	3
refreshed	3
received	3
reading	3
quite	3
purchased	3
promotion	3
pretty	3
praised	3
poorly	3
police	3
plate	3
pink	3
picture	3
performed	3
perfectly	3
passed	3
party	3
pants	3
oven	3
office	3
niece	3
neighbor	3
nap	3
mr	3
moved	3
morning	3
metal	3
meet	3
mall	3
making	3
lose	3
london	3
license	3
lexi	3
law	3
knew	3
kid	3
kicked	3
key	3
judges	3
interested	3
im	3
hours	3
hoped	3
high	3
hat	3
happened	3
grow	3
grew	3
given	3
ginas	3
furious	3
fries	3
fly	3
fit	3
fire	3
finally	3
feet	3
failed	3
expected	3
end	3
easily	3
drinks	3
doesnt	3
divorce	3
diet	3
depressed	3
cousin	3
court	3
coupons	3
coach	3
clothing	3
clothes	3
classes	3
christmas	3
child	3
chief	3
check	3
celebrated	3
cats	3
cant	3
calls	3
burned	3
broken	3
brians	3
box	3
black	3
bit	3
ballet	3
ball	3
asking	3
apples	3
anywhere	3
anyway	3
anyone	3
along	3
yoga	2
yacht	2
wrestling	2
worthless	2
worst	2
world	2
wont	2
wonderful	2
wish	2
wiped	2
white	2
welcomed	2
weekend	2
warmed	2
wants	2
walmart	2
walking	2
vomited	2
videos	2
useless	2
unicorn	2
uncle	2
unable	2
turtle	2
turn	2
trying	2
tripped	2
tried	2
trees	2
tour	2
tooth	2
toms	2
tomorrow	2
tomatoes	2
tired	2
tip	2
tinas	2
ticket	2
third	2
things	2
therapist	2
thank	2
text	2
terrified	2
tells	2
teeth	2
teaching	2
tattoo	2
tasty	2
tasted	2
taste	2
talking	2
sweater	2
supervisor	2
suggested	2
suddenly	2
students	2
student	2
stressed	2
stove	2
stood	2
stolen	2
stereo	2
steal	2
squirrel	2
spot	2
spider	2
spending	2
spend	2
speak	2
songs	2
song	2
soda	2
socks	2
sobbed	2
sneakers	2
smile	2
smeared	2
smaller	2
sleeping	2
slammed	2
ski	2
six	2
sitting	2
sit	2
sink	2
sing	2
shut	2
showed	2
shot	2
shorts	2
shoe	2
ship	2
shape	2
service	2
screamed	2
scolded	2
schools	2
scarf	2
satisfied	2
sang	2
sandwiches	2
sand	2
round	2
rope	2
rooms	2
roommates	2
river	2
riding	2
rid	2
returned	2
results	2
rested	2
requirements	2
repaired	2
removed	2
released	2
relaxed	2
rehab	2
receive	2
rather	2
rained	2
rain	2
rabbit	2
purchase	2
punished	2
punched	2
pudding	2
proposed	2
promoted	2
problem	2
president	2
prepared	2
practiced	2
practice	2
pounds	2
post	2
porch	2
popcorn	2
poor	2
pole	2
poison	2
plumber	2
player	2
plane	2
pineapple	2
pick	2
piano	2
photos	2
petted	2
pass	2
paris	2
papers	2
pams	2
painting	2
painted	2
overweight	2
outdoors	2
ordered	2
opera	2
opening	2
often	2
offered	2
offer	2
ocean	2
nurse	2
number	2
nothing	2
nose	2
nervous	2
neighbors	2
negative	2
name	2
mud	2
move	2
motel	2
mood	2
moms	2
miss	2
mind	2
mile	2
mexico	2
meeting	2
master	2
marshmallows	2
marriage	2
many	2
management	2
mailman	2
mailbox	2
mail	2
loves	2
losing	2
longer	2
living	2
likes	2
leg	2
leaving	2
learned	2
learn	2
league	2
laughing	2
lady	2
knee	2
kissed	2
kellys	2
keeping	2
join	2
jog	2
jills	2
jet	2
jeans	2
jacket	2
items	2
interesting	2
insulted	2
inside	2
incident	2
impressed	2
idea	2
hungry	2
hung	2
hug	2
hotdog	2
hospital	2
horse	2
hole	2
hired	2
hed	2
harder	2
harassing	2
happiest	2
hand	2
halloween	2
gym	2
guitar	2
ground	2
grandma	2
germany	2
future	2
