InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
a1b70c5b-8d08-4326-9f07-5f42e22af58b	0.7	For Rachel's birthday, her husband took her out to the river. They set up a blanket on the beach and enjoyed a picnic. After they ate, they went for a swim. When they got bored of that, they went and bought some ice cream.	Rachel had a wonderful time.	Rachel had a terrible time.	0	0	0	1	1	1	0	1	0	1	1	1
6b46da01-f7a3-4fb0-9548-d18a420bb36d	0.7	Susie drives a long way to work everyday. She noticed a dark spot where she parks in the driveway. Since she was concerned, she took her car to a mechanic. The mechanic told her that she had an oil leak.	Susie started thinking about getting new car.	Susie was excited by the great news.	0	0	1	1	0	0	1	1	1	1	1	0
2eac2748-9ff8-4061-8d9c-2a8c78fad47c	0.7	A car was driving across this abandoned road. A deer ended up moving out of the vines. Since the driver was scared by the deer, he didn't hesitate to stop. The deer died from injury.	The driver drove off shaken, but unhurt.	The driver laughed the whole way home.	0	0	0	1	1	1	1	0	0	1	1	1
4c70ef85-39c9-40b5-b8c2-ed583a4fec32	0.7	Petey held the high score in the pizza parlor's arcade cabinet. It was a campaign fighting game from the 80s. One day Petey went in and the machine was gone. The staff informed him that it had broken down.	Petey was so disappointed that the game was gone.	Petey was very happy that the game was gone.	0	0	1	1	0	1	1	1	1	0	1	0
c24717a8-f206-486c-89e7-9978dbb703f5	0.7	One day Tommy and his friend Bill took a road trip. They jumped in the car and drove away. They drove to the ocean. They got out and ran beside the beach.	Tommy couldn't swim, so he just watched Bill go into the surf.	Tommy would never forgive Bill for that.	0	0	1	1	1	0	1	1	1	0	1	0
daa9b825-d843-4b00-84ad-4f7e1078b01c	0.7	Vanessa hired a babysitter that liked to snoop. She snooped in makeup drawers. She snooped in jewelry boxes. She snooped in medicine cabinets.	Vanessa caught her snooping, and fired her.	Vanessa gave the babysitter a raise.	0	0	1	0	0	1	1	1	1	1	1	0
d9b621c0-23c7-41f2-b094-ef2fbacfcc5d	0.7	I was listening to music last night. It was a great new song. I didn't realize how loud it was. The neighbors knocked on the door and asked to turn it down.	I apologized and turned it down.	I shut the door and turned it up.	0	0	0	1	1	1	0	1	0	1	1	1
f9ac6868-8a06-4c85-84b6-d2b325870789	0.7	Gina got on the bus and watched the door for her friend Tami. She hoped they would walk to the bus together, but they hadn't. Tami had stayed and was talking to the girls who no longer liked Gina. And this worried Gina.	Maybe Tami wouldn't be her friend anymore.	Gina broke into a song.	0	0	1	0	0	0	1	1	1	1	1	1
55dee4d3-9951-4aae-91c3-3ecfd4e51f69	0.7	There was nothing Pollyanna liked better than nuts. Pollyanna was a very clever Cockatoo. When she saw a dish of nuts in the living room, she wanted them. After her owner left, she pried open her cage door with her beak.	She proceeded to eat all the nuts in the dish.	Then she fell asleep in her cage.	0	0	1	1	1	0	1	1	1	0	1	0
78ed76d7-fabc-42a0-af4e-d85e4d6bf1d9	0.7	Linda went to a special retreat to relax. On the first day, she was weirdly told to wear a white robe. Everything they did was in unison and things were getting strange. She said this was not a retreat but a cult following.	Linda left as soon as she could.	Linda had a lot of fun.	0	0	1	1	0	1	1	1	1	1	0	0
291b76d1-be06-4b41-a7aa-a1c1d549e2a9	0.7	A heterosexual couple approach the checkin desk at a hotel. The woman excuses herself to go to the bathroom. A second man walks up to the desk and stands next to the first. The concierge assumes the two men are together.	The men realize the concierge's mistake and laugh uncomfortably.	The men fall very much in love and get married.	0	0	1	1	0	0	1	1	1	1	1	0
7247dc6e-3981-4977-b199-b056141d6ea6	0.7	Tim didn't like school very much. His teacher told him he had a test on Friday. If he didn't pass this test, he could not go on the class trip. Tim decided to play with his kites instead of study for the test.	Tim was unprepared and failed the test.	Tim aced the test and passed with flying colors.	0	0	1	1	0	1	1	0	1	1	0	1
24ae4bf8-9e31-48a8-8a4d-e21425406fd9	0.7	She closed the door and locked it behind her. Her movement was sultry as she approached him. He watched in easy anticipation. She swept him into her arms and they kissed.	Then they had sex.	Then they painted the room.	0	0	1	0	1	1	1	1	1	1	0	0
53544b69-29eb-42e8-87a1-f0237df2c73d	0.7	Shawn's pillow is lumpy and old. Sometimes Shawn can't sleep at night. He goes into town to buy a new pillow. Shawn is very excited to sleep tonight!	Shawn hopes the pillow works.	Shawn hope to return the pillow.	0	0	1	1	1	0	1	0	1	1	0	1
7e9f46b5-0844-482d-8667-182e3ae081ca	0.7	Ella wanted to be a comedian. One night her local comedy club had an amateur night. Ella decided to try it out. She went onstage and told her jokes.	The audience's laughter told Ella she should pursue her dream.	The audience sobbed at the sad songs Ella sang.	0	0	1	1	1	0	1	0	1	0	1	1
a37ad9e7-ffed-466f-bd1b-bfd0fca5ac5e	0.7	A mariachi band decided to take a road trip. Only the vihuela player had a car. It couldn't fit everyone's instruments. Crestfallen, the band went to a movie instead.	Everyone was very disappointed.	Everyone was very pleased.	0	0	1	1	0	1	1	1	1	0	1	0
c44067aa-a52a-46a3-8e51-65655e013e07	0.7	Tina wanted to play a prank on her sister. Tina set her sister's alarm clock 3 hours ahead. The next morning her sister got up 3 hours early. When she realized what had happened she was very mad.	Tina's sister vowed to get even.	Tina's sister wrote her a thank you card.	0	0	1	1	0	0	1	1	1	1	1	0
ad6a45c4-ab9e-43c3-ac5e-3a10b64a1d96	0.7	The 7th grader wore high heels to school. She looked like a colt trying to walk. She ended up falling. She had to go to the nurse.	The nurse told her not to wear heels anymore.	The 7th grader's parents were very pleased.	0	0	1	1	1	0	1	1	1	0	1	0
75768124-6fef-47e1-9db9-c930f00ed3c7	0.8	My friend got me a planter as a housewarming gift. It's small and cute and fits in nicely with my decor. But I'm still not sure where to put it. I hope he doesn't get sad.	I'm sure I'll figure out a place for it eventually.	The picture has a very nice frame, in my opinion.	0	0	1	0	1	1	1	1	1	1	0	1
354f6e4e-85ac-4e0b-90c2-5899f2d6b549	0.8	Jill bought a pickaxe and went down to the mine. John saw her on her way. He told her that women can't work in the mine. So she swung her pickaxe right through his skull.	John then fell down and died.	John was then very happy.	0	0	1	1	1	0	1	1	1	1	1	0
