	word	count
803	decideddidntlike	5
1596	vowednevergo	4
186	wentbackhome	3
1220	decidedgoback	3
2611	wentbacksleep	2
1254	wantedgohome	2
2081	vowedneverreturn	2
1977	turnedarounddrove	2
421	thoughtpiedelicious	2
858	sisterlaughedhysterically	2
733	ranawayhome	2
1386	playvideogames	2
2337	orderpizzainstead	2
2596	neverlookedback	2
411	gotmuchworse	2
1719	feltmuchbetter	2
2272	fastfoodrestaurant	2
1366	drovebackhome	2
104	dogatesandwich	2
491	decidedorderpizza	2
266	decidedneverwanted	2
108	decidednevervisit	2
314	decidedneverreturn	2
174	decidedneverplay	2
1335	decidedgoswimming	2
2301	decideddidntwant	2
986	boughtnewone	2
1985	bedwentsleep	2
1792	yellsleavealone	1
2772	yelledmanlet	1
461	yelledgirltripped	1
811	yelledeveryoneleave	1
1217	yeareasilymade	1
1916	yawnedshuffledoutside	1
553	yaosvegetableswithout	1
45	wrotethankcard	1
1303	wrotepoorreview	1
125	wrotelargecheck	1
1848	wristneverfelt	1
448	wristgreatshape	1
809	wrestlingteamnext	1
1080	wrestleddoctorfloor	1
2409	wouldwithoutpaints	1
1700	wouldswimdeeper	1
2877	wouldshopfuture	1
2165	wouldrathereat	1
918	wouldpasswithout	1
1265	wouldntmakegood	1
1107	wouldneverplay	1
2202	wouldneverforgive	1
1821	wouldmakegood	1
290	wouldleavemr	1
1284	wouldkeepchildren	1
1347	wouldgreatinstead	1
1834	wouldgetalong	1
2292	woulderasestories	1
686	wouldeatsandwich	1
1098	wouldableafford	1
1981	worthlesstractorparts	1
12	worstpopsiclesever	1
2244	worstplaceever	1
1264	worriedfuturehusband	1
88	workweatherlovely	1
2365	workjuryduty	1
2467	workingcosmeticsfield	1
722	workingbrisklytake	1
1474	workerwalkedaway	1
1760	workertoldkeep	1
1402	workerneedednew	1
2439	workergavechecked	1
650	workerbegansing	1
1958	workedharderever	1
1697	woreshirtday	1
1099	worenavyblue	1
1155	worecowboyhat	1
2192	wordsangalong	1
1951	wonttalkanymore	1
197	wonteatpizza	1
166	wonderingnewhome	1
2810	wonderfultimerestaurant	1
2069	wonderedstrangesmell	1
1669	wondereddogoverweight	1
1296	wonderedalekitchen	1
604	womantoldjudge	1
2214	womanthoughtuseless	1
1783	womanreleasedstreets	1
2385	womandecidedwould	1
2173	wokewentjog	1
1933	wokerefreshedwell	1
252	wokenextday	1
2143	wokegotbed	1
2114	wokefeelingextremely	1
428	withouteverknowing	1
850	wishunclebirthday	1
21	wishedvisitedcolorado	1
426	wishedthreedaughters	1
1823	wishedsummertime	1
209	wishedsomeonetext	1
2423	wishedpullingteeth	1
869	wishednevergone	1
2153	wishedmadefriend	1
2565	wishedlookedlike	1
2591	wishedhadntstolen	1
2734	wishedfamilywould	1
1211	wipednoseautograph	1
2512	wipedicecream	1
2700	windowstayedbroken	1
1971	wildflowerssideroad	1
1110	wifewanteddivorce	1
1882	wifetoldlazy	1
915	wifetoldbreast	1
503	wifegavewent	1
2635	wholegallonsink	1
2303	wholeexperienceconfirmed	1
382	whitemrblack	1
2120	whetherwouldhelp	1
2837	wheeldidntlike	1
124	werentinterestingwinning	1
172	wentvisionquest	1
508	wentuniversalstudios	1
2494	wenttreatedfriends	1
2521	wentswimmingpool	1
2614	wentsleepinstead	1
1166	wentschoollearn	1
1214	wentschoolblue	1
2118	wentridehorse	1
2707	wentrestaurantate	1
2150	wentpickwildflowers	1
2783	wentpickolives	1
1997	wentpantrygot	1
163	wentoutsideplay	1
510	wentoutsidelook	1
1180	wentonlineresearched	1
646	wentnightdance	1
1384	wentnicesteak	1
2517	wentnewwars	1
2784	wentnewmovie	1
150	wentnewfriend	1
1935	wentmoviesfriends	1
982	wenthomewent	1
2714	wenthometold	1
263	wenthomeresented	1
2689	wenthomepretty	1
2720	wenthomeinstead	1
2287	wenthomeearly	1
2622	wenthomedisappointed	1
2296	wenthomeate	1
470	wenthomealone	1
864	wentgymexercised	1
900	wentgetmetal	1
1201	wentfindwedding	1
90	wenteatchicken	1
1551	wentdriveintheatre	1
1782	wentcargarage	1
2043	wentbuiltsnowman	1
1619	wentbehindhusbands	1
1147	wentbedearly	1
687	wentbackshredded	1
665	wentbackschool	1
1375	wentbackrooms	1
1530	wentbackbed	1
2624	wentanotherrestaurant	1
341	wellskateboardedday	1
1065	wellrehearsedenough	1
1261	wellneverlost	1
455	welllitroom	1
1699	welcomeadditionkept	1
2412	weight299pounds	1
607	weekwentmovies	1
1290	weddingplannerinstead	1
1500	wearnewsweater	1
640	wearlefthospital	1
764	wearingfloralperfume	1
1458	wearingdarkcolor	1
106	weardirtypants	1
1844	watertookdrink	1
2662	watertimscleanest	1
2496	waterskihome	1
848	waterdirectlykitchen	1
627	watchmoviesreading	1
2005	watchingenoughtv	1
1660	watchhorrormovies	1
1152	watchfavoriteshow	1
281	watchenoughtv	1
354	watchedvideoanyway	1
2200	watchedplaynext	1
2727	watchednewepisodes	1
1481	watcheddadchop	1
1771	watchedbreakingbad	1
530	watchedanotherscary	1
2368	wasntwearingdark	1
371	wasntwatchingenough	1
1496	wasntskilledenough	1
1352	wasntpreparedcorrectly	1
1111	wasntnervousanymore	1
1043	wasntinterestedtasting	1
1518	wasntgoodwriter	1
2216	wasntablelocate	1
1271	wantworkanymore	1
2279	wantwishuncle	1
888	wanttalkmother	1
2836	wanttakepumpkin	1
2159	wanttakecare	1
893	wantssellitems	1
1641	wantrideride	1
962	wantplaysnow	1
945	wantlicenseanymore	1
620	wantkidsanymore	1
2274	wantheaterrepaired	1
1222	wanthearanymore	1
1789	wantgodisney	1
149	wantgoanymore	1
835	wantfunschool	1
1089	wantedtelladult	1
404	wantedtalkgirl	1
1597	wantedmeetnew	1
478	wantedhangnext	1
1769	wantedgogrocery	1
1299	wantedgogermany	1
1329	wantedanotherice	1
942	wanteatice	1
2068	wantcontinuemaking	1
785	wantcomeanymore	1
1505	wantchangejobs	1
463	wantboxanymore	1
2593	waltonsfeltextremely	1
95	walkvotingplace	1
1337	walkedworkweather	1
2803	walkedworkinstead	1
793	walkedtowardscreamed	1
2766	walkedsurprisebirthday	1
2785	walkedschoolrain	1
431	walkedmailboxshorts	1
2431	walkedhomemopped	1
376	walkedhomeleaving	1
1690	walkedbackhome	1
2472	walkedbackcar	1
331	walkedawaywithout	1
1723	walkedawaysuitcase	1
2465	walkedawaynever	1
784	walkaroundschoolyard	1
52	vowedneveruse	1
1906	vowednevercarve	1
471	vomitedjudgesdeadlift	1
1627	volcanodidntwant	1
978	visitorchardsteal	1
2207	visitnewlondon	1
908	visionquestdesert	1
1768	videostracysfavorite	1
1984	viannasuddenlydecided	1
883	vetremovingspines	1
1677	veggieburgernew	1
2315	vegetableswithoutrewarding	1
1925	vacuumcleanerbags	1
2779	vacationfailurenothing	1
504	usingcomputerhome	1
264	usingcalendarswasnt	1
557	usedtwodollars	1
2886	usedtimesince	1
2848	usedshovelget	1
768	usedseeingsnow	1
1424	usedphonebattery	1
165	usedmoneydrugs	1
880	usedknowledgebecome	1
2121	usedcdplayer	1
1044	upsetvetremoving	1
2873	upsetsomebodystole	1
2495	upsetsaidyes	1
2051	upsetparentsthrew	1
2154	upsetoneshared	1
2459	upsetidolwould	1
1383	upsethedgone	1
330	upsetgradereceived	1
683	upsetgomuseum	1
1382	upsetfriendtaught	1
1151	upsetflowerswerent	1
442	upsetdiscoveredmissing	1
2544	upsetdidntget	1
2386	upsetacnecream	1
2213	upgradecellphone	1
1956	unraveledscarfthrew	1
701	uniformbecamebaseball	1
2654	unicornvideostracys	1
856	unicorncakenext	1
1173	unclewentnice	1
596	unablegetcollege	1
2013	unablecontroladdictions	1
2514	uglycakewedding	1
2693	twoweekslater	1
2355	twoshipsshared	1
3	twodollarsbuy	1
1912	twentypoundstrekking	1
2324	turtledeepmud	1
135	turtlecontinuedsit	1
805	turnedwenthome	1
1685	turnedwentback	1
2103	turnedphonedidnt	1
2481	turnedgpsfound	1
2809	turnedflashlightscream	1
2142	turnedbrightpink	1
925	turnedbackcheck	1
1281	turnedaskedgo	1
1492	turnedaroundwent	1
569	tshirtterriblecolor	1
567	trywrestlingteam	1
2316	trynewprograms	1
2370	tryingtrimarchies	1
2887	tryamazingrace	1
2799	truethankschicago	1
2299	trippedspilledbowl	1
2008	trimarchiesclaws	1
47	triedfitpets	1
1646	trekkingnorthpole	1
1085	treaticecream	1
1717	treatedfriendssteak	1
2140	travelbigcity	1
1413	transitgetaround	1
177	trainleavesstation	1
1374	trainenjoyedimmensely	1
2124	tradesandwichesfriend	1
2561	tractorpartsaway	1
830	toweldirtylaundry	1
2757	towardscreamedface	1
2523	tourguideshow	1
1109	totalsuccessthrilled	1
769	tossmoneylake	1
2529	toothfairyleft	1
482	tookthrewtrash	1
403	tooksmokingplace	1
464	tookshirtthrew	1
917	tookseatnext	1
115	tookputfridge	1
1363	tookpunishmentjustly	1
2680	tookpinchsalt	1
2500	tookonekitten	1
310	tooknaptree	1
2260	tookgirlslunch	1
1998	tookgetkitten	1
904	tookchildrenshopping	1
1732	tookchildrenice	1
2377	tookcarmud	1
2702	tookbootscontinued	1
1878	tookanothersip	1
365	tookanotherbite	1
