storyid,answer,sentence1,sentence1_sentiment,sentence1_sentiment_score,sentence2,sentence2_sentiment,sentence2_sentiment_score
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,2,My friends decided to keep inviting me out as I am so much fun.,Positive,0.99,"The next weekend, I was asked to please stay home.",Positive,0.76
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,1,My allergies were too bad and I had to go back home.,Negative,0.24,It reminded me of how much I loved spring flowers.,Positive,0.97
4745d627-be9b-45f2-ad92-99c82cc83f85,2,Avery thought her children would be happy with her decision.,Neutral,0.53,Avery regretted what she did the next day.,Positive,0.89
6bc5a855-3a02-454c-8d8b-4428b1864f95,2,Josh thought that the pie was delicious.,Positive,0.95,Josh got sick.,Negative,0.13
2f74e81d-957b-4541-9e66-59e5eaa6aef1,1,He felt inspiration and then went back home to write.,Positive,0.91,John then got an idea for his painting.,Positive,0.75
325503ab-11f5-416d-81fb-3980793ca6f7,1,The cashier handed them the cash so they would go away.,Neutral,0.39,The cashier invited the men to her high school reunion.,Positive,0.88
794c804e-89ca-47b1-a583-7300e0509764,1,They called the police to come to my house.,Neutral,0.65,They liked me a lot after that.,Positive,0.94
ece6f206-49ab-4c70-8a65-d6d2b0c97610,2,Kerry was disappointed.,Negative,0.02,Kerry was so grateful!,Positive,0.97
61d1df75-b64c-485d-9599-0dd7f8809433,2,Franny ended up getting deported.,Negative,0.18,Franny learned to examine her prejudices.,Positive,0.91
482130ae-9698-477e-a20e-76b48d99a2e3,2,When he finished his paper he went to bed.,Positive,0.85,Luckily he had been saving everything on an external disk.,Neutral,0.73
3f076ec0-6985-418d-bb75-45b437aceca0,1,Ari opens the jar to find perfect pickles.,Positive,0.98,Ari's pickles are sweet.,Positive,0.97
b5bc0ca6-03b0-43c0-8114-20186b5f783b,1,Trudey hoped self-publishing would be more profitable.,Negative,0.09,Trudey called her sister and asked her to come to dinner.,Positive,0.81
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,2,The pair then went out to pick olives.,Negative,0.21,Feliciano was happy about his nice day.,Positive,0.94
5b2f7f43-ce2f-4405-9576-21ef0ae67612,1,Aaron suggested he help her cook another meal instead.,Negative,0.15,Aaron broke up with her.,Negative,0.02
d9dde843-ee66-4dca-820a-c3d489ba586f,2,Oliver decided to not get married.,Negative,0.13,Oliver was so grateful for his wife's love.,Positive,0.98
705d7e4d-3b56-48dc-9dad-9b14eff97d95,2,Sarah broke her leg.,Negative,0.01,Somebody found her cat.,Neutral,0.45
a37be14a-7724-464c-8344-87624fafaa34,2,Kelly was mad about that.,Negative,0.19,Kelly was so happy to finally beat it.,Positive,0.99
17cfe8c3-561d-4910-8644-0565deccbe79,1,Deb said yes to Tim's marriage proposal.,Positive,0.82,Deb told Tim she was only interested in woman.,Negative,0.18
87aa1560-0c24-4a6d-8507-6ae058e4422a,2,I thought the cereal was delicious.,Positive,0.95,I loved them anyway.,Positive,0.96
9cba37ea-cc3e-4775-b044-c3d3d4983d22,2,To this day I hate checkers.,Negative,0.13,I have very fond memories of checkers.,Positive,0.93
a0769cd4-45a0-492c-a566-b14b9b17cba6,2,Amy spent all of her money on clothes.,Positive,0.77,She loved her new phone.,Positive,0.96
40f3b904-81c7-4e92-b245-ff20840733a2,2,Dave bought an entire case.,Neutral,0.67,They were on sale.,Neutral,0.73
b00c883d-782a-428a-be8d-1749a200575f,2,Gina asked her grandpa what kind of flowers he liked best.,Positive,0.94,Gina decided to go outside and pick some of the weeds.,Neutral,0.66
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160,1,She was offered the new job at a higher salary.,Positive,0.85,Ramona had no reason to want to change jobs.,Negative,0.12
34ddd737-0709-4fc7-b64b-6c43eaf9f48c,1,My parents gave me enough money to buy the console.,Neutral,0.67,At the end of the summer I gave the money back to my parents.,Negative,0.15
fc416bf8-23b2-41af-b4bf-ffc544321166,2,Felipe never wanted to go to Germany again.,Neutral,0.28,Felipe visited Germany again later in his life.,Positive,0.94
d8079c78-7eda-4006-a7f5-993cc1456bcb,2,Miles got up and walked away.,Neutral,0.32,Miles decided that he needed to be more careful.,Neutral,0.45
de97e427-f428-4b4e-80e6-b22b80a9f3f1,2,Johnny wanted to ask Anita out again.,Positive,0.93,Johnny did not ask Anita out again.,Neutral,0.71
4d1e86d9-f613-47c4-848e-0e4b9fbe3dce,1,"He was near death for sure, he would be gone before night's end.",Neutral,0.47,He got up and decided to go for a jog.,Positive,0.92
c9bc611e-b71c-48e9-a3d3-4a4ebcb9a8cc,1,Tom hurried to study as much as possible before the test.,Neutral,0.45,Tom felt prepared for the test.,Positive,0.84
7ef8e330-87c0-45f1-a4ac-c51818a46ac5,1,He decided to buy more lunch and then he felt sick.,Neutral,0.62,He then stopped eating because he was full.,Neutral,0.65
86178f58-f674-42bc-91f8-23038c98197a,2,Jill and her dad took one kitten home.,Positive,0.90,Jill and her dad took both kittens home.,Positive,0.93
2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c,1,I got a nice sun tan that day.,Positive,0.86,I was hit in the face with a football and got a black eye.,Neutral,0.38
50a2e0a9-17b0-4670-9e3b-7c7a0bcf3512,1,The dog ran home with his tail between his legs.,Neutral,0.43,The other dog got the better of him and bit his ear.,Neutral,0.44
1257ebe1-6a10-49c0-bd35-28ca88e2baec,2,Peter hated Christmas.,Negative,0.13,Peter's daughter enjoyed the music.,Positive,0.99
00c4e875-144a-4c40-b83a-08a7e9926253,1,Yao placed in two categories.,Neutral,0.70,The judges ate Yao's vegetables without rewarding him.,Neutral,0.37
e347459b-dd6e-4b4e-afae-7bbb45964184,2,Mary lost her job because she didn't have any stamina.,Negative,0.02,Mary was glad she learned to jump rope.,Positive,0.90
606f2a0b-3565-4cf8-8b95-efc4196a5ef3,2,He told me to go to hell.,Positive,0.88,He filled my order.,Positive,0.95
c2053646-85b1-41b4-8244-bfb1a2c21029,1,His friend loved the tacos that Scott cooked.,Positive,0.96,His friend was so offended he asked Scott to leave.,Neutral,0.33
1e65a4f0-bc9e-4ff7-84e0-8eff744d95aa,1,He was asked to join the team.,Positive,0.82,He played terribly.,Negative,0.06
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7,2,Beth's dog had been hit by a car!,Positive,0.78,Beth had just won the lottery!,Positive,0.89
f6f37f29-ff73-4b5b-980c-55b0a2d1340c,2,The water was very still.,Negative,0.21,The water exploded.,Negative,0.02
e0644cca-3711-444f-ba22-22e701d18fa9,2,Her best friend felt angry.,Positive,0.90,Her best friend was elated.,Positive,0.97
facc8d6c-0f9d-472a-aa08-a7bacb41d38b,2,Gordon is fired for being late to the meeting.,Neutral,0.38,Gordon vows to be more careful next time.,Neutral,0.45
cd4c6628-e2b1-4959-afaf-e3008821b177,1,The police had to come to break up the argument.,Negative,0.12,They complemented each other on how tasty the cake was.,Positive,0.99
11c99af0-78e8-414d-b78c-2c70fe407ba6,2,Mike was glad he didn't walk around the schoolyard.,Neutral,0.26,Mike was sad to see his girlfriend with someone else.,Neutral,0.44
7ac29522-a873-4083-832c-cf8fbbf3d1dd,1,Kara asked the neighbors not to put out dog treats in their yard.,Positive,0.96,Kara bought a pet cat and dyed it pink.,Neutral,0.42
1055bd28-9480-4e7e-8b5c-68575b03911b,1,"After saving her, we were all relieved.",Neutral,0.38,We then let her go swimming.,Neutral,0.63
44b83c91-61e5-48e1-aa8b-a4712e3b837a,1,The harpooner went down with the ship.,Neutral,0.45,The harpooner emerged on a surfboard.,Neutral,0.64
054e6e40-539e-4b88-b81d-acec771d42cb,1,Sarah was so depressed.,Negative,0.03,Sarah was delighted she dropped the toast.,Positive,0.93
f82aee98-72da-4a92-b898-d4d362101498,1,"After that, we went home and peacefully slept.",Neutral,0.63,We then left six flags and went home.,Neutral,0.33
099edf1f-91ae-4f8c-b9ed-4e921a7c3b02,1,She thought she could be an honorary aunt.,Neutral,0.46,She decided she didn't like babies.,Negative,0.11
fee44088-f58d-4ef9-93dc-cffe69f03d77,2,The ocean was a calm as a bathtub.,Neutral,0.55,A big wave knocked Mary down.,Neutral,0.51
cef2eb7e-2792-46b4-9492-dbabc9155829,1,Ashley got a part time job too.,Positive,0.98,Jeff quit his job that day.,Positive,0.77
4989e550-64be-4b0e-a667-fee519fc2980,1,Josh loved the outdoors.,Positive,0.95,Josh loathed the outdoors.,Neutral,0.66
5be778f7-bed0-4ffd-b275-eaa8dd6eb417,2,We decided to leave after sitting down.,Neutral,0.29,We had court side seats.,Neutral,0.28
a524f46d-2122-4d80-9cf6-35e7295e27c1,1,It was just what she wanted.,Positive,0.99,She was very allergic to poison ivy.,Negative,0.03
94d111c2-3c86-40cc-afaa-e9d0a123c3d5,2,I know I'll eat pears one day.,Positive,0.76,I know I'll get there one day.,Neutral,0.63
