	word	count
1429	feltmuchbetter	3
147	tookemergencyroom	2
2721	startedfeelbetter	2
1657	soongothome	2
2385	savedenoughmoney	2
2634	proudhardwork	2
2245	headachewentaway	2
1144	friendslotfun	2
376	foundexactlylooking	2
960	enoughmoneybuy	2
689	decidednewfavorite	2
529	becamebestfriends	2
2135	zebrasrunaway	1
2685	youngremembermistake	1
2599	youngladycrying	1
847	yeswentmovies	1
2707	yestimsmarriage	1
1584	yescouldkeep	1
213	yelpedranaway	1
2143	yearneverspent	1
1955	yearmadeteam	1
1085	yearlaterpromoted	1
1301	yearlatermarried	1
2093	yaoplacedtwo	1
409	wrotefoodnetwork	1
1699	wrotebadreview	1
595	wronglynudehouse	1
1582	writepaperbats	1
2758	wouldwrongdrink	1
850	wouldwearcolorful	1
447	wouldtrytwoday	1
11	wouldtrymake	1
1855	wouldshadeothers	1
1476	wouldreacttwo	1
2256	wouldpreferredsolitude	1
98	wouldntgettrouble	1
269	wouldntfriendanymore	1
1847	wouldnevereat	1
2336	wouldmovechildren	1
1216	wouldgotdog	1
153	wouldgonenights	1
839	wouldgoaway	1
758	wouldgetbetter	1
2818	wouldfiveweeks	1
1486	wouldalwaysremember	1
2474	worryjudgmentalpeople	1
705	worriedmotherwould	1
1906	worriedgoinglate	1
345	worriedcomputervirus	1
1526	wornrestnight	1
1119	worktastyvegetables	1
2526	worktastyfries	1
1156	workshirtruined	1
1263	workratherbus	1
2052	workpassedcrows	1
252	worknextday	1
2675	workingwellprogram	1
1603	workinghardmanaged	1
400	workhometable	1
1941	workgosettle	1
314	workgivessick	1
2751	workerrecommendeddifferent	1
2406	workerknewgoing	1
545	workerfoundsuitcase	1
1979	workeradoptingdog	1
1244	workedhardreopened	1
1575	workedbecameobedient	1
402	workbuycar	1
1064	worenewsweater	1
1613	worehatnext	1
222	wonderscouldfind	1
1813	wonderfulviewcity	1
2095	wonderfultimeprom	1
1290	wonderfultimecoworkers	1
1715	wonderfulhomeright	1
915	wonderedwouldreact	1
1721	wonderedmaderight	1
515	womanthankedrescuing	1
764	womansucceededreversing	1
878	wokewellrested	1
1225	woketimego	1
639	woketerriblemigraine	1
2247	wokerangclass	1
52	wokelaterfelt	1
1724	wokehungrymorning	1
394	wokehayfield	1
2712	wokefeelingbetter	1
2018	wokecasseroleburned	1
1397	witnessingfirstearthquake	1
704	withoutpayingtip	1
1918	withoutcheckingbook	1
1593	withinonemonth	1
1471	witchscursereversal	1
1735	wishedwouldvisit	1
2760	wishedshedlistened	1
2060	wishedcouldstay	1
2843	wishedcouldafford	1
44	winetasteddelicious	1
264	wildlyburstdoor	1
170	wigfrostedblonde	1
1659	wifetoldpregnant	1
649	wifegotmovie	1
