InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	0.1	Jane needed a new desk. Her previous desk was old and falling apart. She went to a store and tried to find a likeable style. Jane did not like any of the desks at the store.	Jane just went home.	Jane bought one of the desks.	1	1	0	0	0	0	0	0	0	0	0	1
e5aeb957-508c-45e7-b0d1-d9f847f9c6f5	0.1	Lily was at the nearby mall with friends when she saw Nick Jonas. She was immediately shocked and couldn't believe it. Nick smiled at her and gave her an autograph. Lily was elated.	Lily posted what had happened to all the social media sites.	Lily wiped her nose with the autograph.	1	1	0	1	0	0	0	0	0	0	0	0
0314de5c-b96c-485e-9739-3d7a5268462c	0.1	Marta needed to visit her son's school award ceremony. Her toddler had just passed out for a nap though. Marta roused her husband from his nap. She told him to watch the baby while she was away.	Marta attended the ceremony.	Marta took a nap.	1	1	0	0	0	0	0	1	0	0	0	0
1194a479-2db4-4298-accf-c69ce6f0a356	0.1	Jerry received several gifts for his birthday. Jerry opened up his presents one by one. One gift with nice wrapping caught his eye . Jerry grabbed the gift and unwrapped it.	Jerry was excited to see what was under the paper.	Ben was nonplussed about opening the gift.	1	1	0	0	1	0	0	0	0	0	0	0
c6b10220-cc2e-41f3-8997-8a8af757e1b7	0.1	Jill was driving her car. She accidentally passed the building she was looking for. She turned around. She then saw her grandma and offered her a ride.	Her grandma climbed in and they drove home.	She told her grandma to find her own ride.	1	1	0	0	0	0	0	1	0	0	0	0
6a9142f1-0d5e-4b66-936d-23bf98a22780	0.1	Nina was trying to quit drinking. She decided to join a support group. She went to their meetings every week. In a few weeks she was handling her cravings much better.	Nina was on the road to recovery.	Nina was unable to control her addictions at all.	1	1	0	0	0	0	0	0	0	0	0	1
5b173f40-685e-4ad1-804d-cb8aadfeab7b	0.1	Mary ate pudding every day. She ate it for breakfast, lunch, and dinner. One day she ran out of pudding. She then decided to become a chef.	Mary loved sweets.	Mary never made pudding as a chef.	1	1	0	0	0	1	0	0	0	0	0	0
8249e163-5c66-43c2-b232-87764d43c3cc	0.1	I bought a dune buggy for fun. I wanted to drive it out to the dunes and mess around. I strapped it into the back of my truck. I drove two hours to get to the desert.	There I found a sign that said No Dune Buggies Allowed.	I surfed with my board for hours before heading home.	1	1	0	0	0	0	0	0	0	0	0	1
df269aa8-ee3b-4dfa-a1be-3e411948d57b	0.2	I went to the store to buy some paper. The clerk looked at me weird when I brought it up. He run it up anyways. As I left the store, I realized why he looked at me weird.	The paper I bought was for little kids.	The paper I bought was a reasonable purchase.	1	1	0	0	1	0	0	0	0	0	1	0
b6bcfca0-9ef4-4b22-b846-af2f9688ab71	0.2	Chuck stepped the cabin cruiser and onto the dock. The boat was new as was his knot tying skills. He quickly tied off the boat. The line was long for the restaurant but he eventually got a table.	Chuck then ordered food and was happy with the service.	Chuck couldn't get a table so he left.	1	1	0	0	1	0	0	0	0	1	0	0
16f0bf1c-f115-4268-a80f-7953e67495ff	0.2	Amy was swimming in the ocean on her vacation. Suddenly she felt a horrible sting. Looking down, she saw a jellyfish swimming away. Amy crawled onto the beach in agony.	Amy went to the doctor for treatment.	Amy felt much better.	1	1	0	1	0	0	0	0	0	0	1	0
