word	count
timedecided	11
wenthome	9
timenever	8
homedecided	8
greatnever	8
greatdecided	8
homewent	7
woulddecided	6
timego	6
madedecided	6
loveddecided	6
firstdecided	6
daynever	6
abledecided	6
wentdecided	5
timewent	5
timeterrible	5
starteddecided	5
saidtold	5
nextdecided	5
newgot	5
newdidnt	5
moviehome	5
lovedhated	5
homenew	5
gotwent	5
gotthrew	5
godecided	5
gamedecided	5
decidedthrew	5
decidedgo	5
coulddecided	5
buydecided	5
yestold	4
wentback	4
wanteddidnt	4
toldhated	4
timehome	4
timehated	4
relieveddisappointed	4
puppygot	4
nextnever	4
newdecided	4
laternever	4
homegot	4
homedog	4
homeday	4
homebought	4
greattime	4
greatgo	4
greatget	4
gotget	4
gonever	4
fundecided	4
friendswent	4
friendshome	4
friendsdecided	4
founddidnt	4
finallydecided	4
finallyanymore	4
feltdecided	4
familydog	4
enjoyedwent	4
enjoyedhated	4
decidednever	4
decideddidnt	4
daywent	4
daydecided	4
buymoney	4
broughtdecided	4
ablemoney	4
wonderfulterrible	3
wentnever	3
wentgo	3
wentdrove	3
walkgo	3
tookwent	3
tookhome	3
tookdecided	3
tookback	3
togethergirlfriend	3
tiredthought	3
timewant	3
timethrew	3
timeeat	3
timeaway	3
thrilleddisappointed	3
sleepwent	3
rightdidnt	3
relievedfound	3
reallygot	3
puppykitten	3
proudashamed	3
newwant	3
newold	3
newhated	3
newboss	3
muchdecided	3
moviewent	3
motherdecided	3
moneynever	3
mommother	3
momday	3
mealrestaurant	3
mango	3
madeteam	3
madepizza	3
madenext	3
madenew	3
madeinstead	3
madehome	3
madecould	3
madebrother	3
likedlike	3
likedhated	3
likedecided	3
likeddecided	3
laterdecided	3
husbandback	3
hurtfelt	3
hometold	3
homeone	3
homenight	3
homeleft	3
homeinstead	3
homefriends	3
homefind	3
homeaway	3
helpdidnt	3
greatwent	3
greathome	3
gratefultold	3
gotmother	3
gotime	3
gothuge	3
gothouse	3
gotfelt	3
gotdog	3
gotdidnt	3
gotdecided	3
gotday	3
gotbrians	3
gopizza	3
goodfelt	3
gooddecided	3
goback	3
getday	3
funlike	3
friendssad	3
friendshated	3
friendsgood	3
friendsgame	3
foundwalked	3
foundnew	3
founddecided	3
fooddecided	3
firedraise	3
findgave	3
finddidnt	3
felttold	3
feltgo	3
eventuallygot	3
enoughmoney	3
dogsdog	3
doggave	3
dogdecided	3
decidedwent	3
decidedmade	3
decidedlike	3
decidedhome	3
decidedhated	3
decidedgot	3
decidedfelt	3
decidedeating	3
decidedcoffee	3
decidedbought	3
decidedaway	3
dayran	3
dayphone	3
daynext	3
daygot	3
dayfelt	3
dayback	3
dayaway	3
dadcar	3
criedday	3
couldran	3
carwent	3
carefuldecided	3
boughtmoney	3
boughtcream	3
bigdecided	3
becamecould	3
babydidnt	3
abledidnt	3
yessaid	2
yesget	2
yearnever	2
wouldsmall	2
wouldnever	2
wouldhome	2
wouldgreat	2
wouldgrabbed	2
wouldcome	2
worriedgreat	2
worksent	2
workreport	2
workingtime	2
workget	2
workbus	2
workaway	2
workangry	2
wonderfultime	2
wonderfuldisappointed	2
wonderfuldecided	2
wifewent	2
wifetold	2
wholeice	2
wenttold	2
wentroom	2
wentone	2
wentnight	2
wentman	2
wentlike	2
wentleft	2
wentinstead	2
wentidea	2
wenthates	2
wentfood	2
wentfelt	2
wentbetter	2
wellwent	2
wellnight	2
wellgot	2
welldance	2
wellclub	2
watchingwatch	2
watchedwatch	2
wasnthated	2
warcountry	2
wantedinstead	2
wantedget	2
wanteddecided	2
wantedcar	2
walletwent	2
walkdog	2
ustime	2
usnever	2
upsetproud	2
upsetparents	2
upsetinstead	2
upsetexcited	2
upsetdidnt	2
upsetdecided	2
twooutside	2
turnedthrew	2
turnedpleased	2
turnedoven	2
turnedaway	2
treedecided	2
treatshome	2
treatmentfelt	2
tookwalked	2
tookstarted	2
tooknever	2
tookdog	2
tookdad	2
tonightmouse	2
toldreceive	2
toldmom	2
togetherwant	2
togethergot	2
timework	2
timewoke	2
timewings	2
timevowed	2
timevisit	2
timevacation	2
timeschool	2
timeride	2
timerestaurant	2
timequit	2
timepool	2
timeplay	2
timenight	2
timenew	2
timelate	2
timeinstead	2
timegreat	2
timegirlfriend	2
timegave	2
timefootball	2
timeeveryone	2
timeearly	2
timeday	2
timecouldnt	2
timechicken	2
timecar	2
timebeach	2
tietold	2
tiemake	2
tiedad	2
tiechili	2
threwdecided	2
thingsdecided	2
theydfish	2
testmall	2
testday	2
testbrians	2
teamyear	2
teamquit	2
teammade	2
teamdidnt	2
teamdecided	2
teachereveryone	2
teacherclass	2
tattooanother	2
tastedwasnt	2
takinggo	2
takendidnt	2
takedecided	2
swamdecided	2
storetime	2
storehouse	2
stillwent	2
stillnever	2
startsgoes	2
startaway	2
startangry	2
stainput	2
stainone	2
stainnew	2
staincurb	2
staincouch	2
stainbought	2
stageperformance	2
spentsister	2
spentfriends	2
soonplaying	2
soonmaster	2
soonliked	2
soonbecame	2
snowdog	2
smiledecided	2
sleptwent	2
sisterlaughed	2
sisterhysterically	2
shelterget	2
shelterdog	2
settlegot	2
setdecided	2
seriousnight	2
seenmr	2
seconddate	2
schoolhair	2
schooldecided	2
schoolday	2
savedmoney	2
savedbuy	2
saidmother	2
saidkitten	2
saidget	2
saidface	2
sadwent	2
sadtold	2
sadhome	2
sadexcited	2
roderide	2
rightwent	2
rightsaid	2
rightlike	2
rightdecided	2
rightanymore	2
restwent	2
restnext	2
restmovies	2
restfriends	2
restaurantnew	2
restaurantdecided	2
relievedgo	2
relaxedstressed	2
relaxedfelt	2
relationshipspoke	2
relationshipnever	2
regrettedwould	2
realizedwould	2
realizedmad	2
realizedfelt	2
ravagedcountry	2
ranmouse	2
ranlaughed	2
ranfelt	2
randog	2
quicklyexcited	2
questionedmr	2
puppynew	2
puppyget	2
proudupset	2
proudparents	2
prouddecides	2
proudcould	2
prizenever	2
policemr	2
policeinvited	2
policeback	2
pleasednever	2
playwent	2
playinggood	2
playinggame	2
playingcould	2
playingbaseball	2
playedplay	2
playdog	2
playback	2
plansmovie	2
plansdecided	2
placedecided	2
pianodecided	2
physicalchef	2
phoneused	2
phonemoney	2
perfectlythrew	2
perfectlyaway	2
peoplelike	2
peopledidnt	2
paydecided	2
passedday	2
parentsmade	2
parentshome	2
parentsgave	2
outsideplay	2
outsidedecided	2
onetook	2
onenever	2
oneevery	2
onedecided	2
oneday	2
offereddecided	2
obtaineddecided	2
nightwant	2
nightupset	2
nightangry	2
nicewent	2
nexttake	2
nextmuch	2
nexthome	2
nextgo	2
nextday	2
nextback	2
nextaway	2
newwork	2
newwent	2
newtake	2
newspent	2
newsocks	2
newsembarrassed	2
newraise	2
newnever	2
newmoney	2
newknow	2
newgreat	2
newgave	2
newcoffee	2
newcar	2
nevermother	2
neverenjoyed	2
neverclass	2
neededaway	2
narrowlynight	2
muchtv	2
muchhome	2
muchgreat	2
muchgot	2
muchget	2
muchenough	2
muchdrove	2
muchanother	2
moviesparents	2
moviego	2
moviedrove	2
movieback	2
moveddecided	2
mousetrapmouse	2
mothertook	2
mothertold	2
mothernext	2
mothergave	2
moneysummer	2
moneysister	2
moneyparents	2
moneymade	2
moneyitems	2
moneygave	2
moneydidnt	2
moneyback	2
moneyanother	2
momtook	2
momtold	2
mommade	2
momlaughed	2
momhome	2
momhated	2
meetdidnt	2
mealgo	2
matchbaseball	2
mannever	2
makingwant	2
makingride	2
madeyear	2
madewent	2
madetree	2
madesad	2
maderoom	2
madeput	2
madeparents	2
madeorder	2
mademovie	2
mademom	2
mademad	2
madelike	2
madekids	2
madehated	2
madefound	2
madefield	2
madedidnt	2
madedecorate	2
madeday	2
madecake	2
madeback	2
madeasked	2
lunchstopped	2
lunchgot	2
lovesdecided	2
lovedwear	2
lovedoutdoors	2
lovedmade	2
lovedinstead	2
lovedhome	2
lovedhair	2
lovedfriends	2
lovedearrings	2
loveddidnt	2
lovedchef	2
lovedafterward	2
lotsad	2
lotmetal	2
lotfelt	2
lotenjoyed	2
lotcould	2
lostwent	2
likeenjoyed	2
likedalong	2
lifewent	2
lifenext	2
levelspent	2
lefttold	2
leftdecided	2
leftaway	2
learnedevery	2
learnedenjoyed	2
learnedday	2
laterinstead	2
latergo	2
lasagnahates	2
lakedecided	2
kyshair	2
kissdecided	2
keepran	2
insidewent	2
immediatelygave	2
immediatelydecided	2
icecream	2
husbandnever	2
husbanddecided	2
hurtdecided	2
houseparents	2
houseliked	2
househome	2
housefire	2
hourdecided	2
hospitalfelt	2
homewanted	2
hometime	2
homepeople	2
homemuch	2
homelooked	2
homelike	2
homeget	2
homefun	2
homefamily	2
homedad	2
