	word	count
82	wenthome	18
3871	decidedgo	18
1430	didntwant	14
188	decidednever	14
3799	icecream	13
3537	didntlike	12
1371	threwaway	11
827	wentback	9
3001	nextday	9
2195	vowednever	8
547	decideddidnt	8
1693	decidedbuy	8
1786	everyday	7
32	walkedaway	6
2436	didntcare	6
1680	decidedget	6
804	backhome	6
2312	nevergo	5
2388	didntknow	5
3562	decidedquit	5
853	wentsleep	4
3382	wantedgo	4
26	walkedhome	4
3620	videogames	4
476	terribletime	4
2725	spentmoney	4
2330	ranaway	4
1220	neverwent	4
2248	neverwanted	4
911	neverreturn	4
1041	muchbetter	4
2761	leavealone	4
22	laughedhysterically	4
1347	goback	4
639	decidedwould	4
514	decidedtake	4
810	decidedhated	4
1828	couldntfind	4
193	couldfind	4
1315	wentschool	3
872	wentnew	3
2429	wentmovies	3
2044	turnedaround	3
3593	prouddone	3
1679	piedelicious	3
1657	nextweek	3
329	neverspoke	3
3723	neverplay	3
2233	neverliked	3
893	nevergot	3
3993	greattime	3
90	gothome	3
2168	goswimming	3
3858	gohome	3
1734	getmarried	3
2509	gaveraise	3
3203	feltrelieved	3
1854	feltproud	3
1499	feltgreat	3
3085	feltbetter	3
2658	feltbad	3
1923	fellasleep	3
3249	fastfood	3
3930	eatingpizza	3
679	drovehome	3
3411	didntneed	3
346	didntlook	3
3071	decidedput	3
1042	decidedeat	3
3807	decidedbecome	3
703	boughtnew	3
986	awayhome	3
3461	atesandwich	3
4026	ashameddone	3
3384	wouldnever	2
2944	wouldleave	2
1642	workinstead	2
3793	woreshirt	2
3964	wifetold	2
1784	wentwalk	2
2537	wentpick	2
3921	wentoutside	2
3999	wentbed	2
933	welldone	2
3326	wanttake	2
4024	wantgo	2
3438	wanteddivorce	2
2651	walkedwork	2
3444	walkedback	2
750	upsetfriend	2
2148	turnedwent	2
1417	tookshirt	2
2662	tooknap	2
83	tookchildren	2
1367	tookanother	2
141	toldmother	2
990	toldcould	2
2849	threwtrash	2
2710	thoughtpie	2
3007	thoughtnice	2
2188	thankedhelp	2
3671	teacherpraised	2
3347	swimteam	2
735	stayhome	2
1038	stayedhome	2
57	sisterlaughed	2
3471	secondplate	2
3722	sandwichlunch	2
451	restday	2
386	refusedwear	2
1915	readingbooks	2
81	raisepromotion	2
3300	putanother	2
335	playvideo	2
2921	pizzainstead	2
3734	pairjeans	2
729	orderpizza	2
1189	openeddoor	2
1015	officeworker	2
3881	nexttime	2
3251	newone	2
4064	newhome	2
2986	newbike	2
402	nevervisit	2
1125	neverseen	2
809	neverlooked	2
1832	nevercome	2
1193	muchworse	2
4025	muchfun	2
3031	mothertook	2
3269	mothertold	2
916	moneynew	2
539	momhated	2
721	makegood	2
3604	madefriends	2
1798	lotfun	2
2964	lookingforward	2
43	lookedback	2
1548	longtime	2
4021	letkeep	2
2258	letgo	2
2934	letdog	2
3341	kepteating	2
2660	keptdriving	2
2225	jumprope	2
2908	homeplay	2
1888	homeinstead	2
2898	homealone	2
3685	highschool	2
422	hatedwriting	2
1385	hatedcats	2
73	hatedanimals	2
1906	greatmood	2
3815	greatday	2
3700	gotwalked	2
2734	gotraise	2
504	gotnew	2
582	gotmuch	2
788	golfclubs	2
2796	godate	2
2652	friendswent	2
604	foodrestaurant	2
2100	finishedpaper	2
617	feltsad	2
2892	feltmuch	2
1364	favoriteshow	2
1544	everseen	2
3742	enoughtv	2
286	enjoyedtime	2
3991	enjoyedriding	2
123	drovecar	2
1321	droveback	2
312	dontlike	2
709	doggot	2
2883	dogate	2
3737	doesntlike	2
2899	didntpay	2
2859	decoratetree	2
574	decidesgo	2
1648	decidedwasnt	2
2267	decidedvisit	2
1506	decidedstay	2
3960	decidedstart	2
3558	decidedplay	2
300	decidedorder	2
975	decidedmake	2
192	decidedleave	2
3095	decidedkeep	2
1520	decidedjump	2
342	decideddrink	2
50	decidedclimb	2
2646	decidedcall	2
1489	dadwent	2
