InputStoryid	rightanswer	wronganswer
00414330-963a-4b44-99e1-bb5d0f99d4ad	knew	decided
00414330-963a-4b44-99e1-bb5d0f99d4ad	knew	give
00414330-963a-4b44-99e1-bb5d0f99d4ad	knew	kid
00414330-963a-4b44-99e1-bb5d0f99d4ad	knew	adoption
00414330-963a-4b44-99e1-bb5d0f99d4ad	meant	decided
00414330-963a-4b44-99e1-bb5d0f99d4ad	meant	give
00414330-963a-4b44-99e1-bb5d0f99d4ad	meant	kid
00414330-963a-4b44-99e1-bb5d0f99d4ad	meant	adoption
00414330-963a-4b44-99e1-bb5d0f99d4ad	child	decided
00414330-963a-4b44-99e1-bb5d0f99d4ad	child	give
00414330-963a-4b44-99e1-bb5d0f99d4ad	child	kid
00414330-963a-4b44-99e1-bb5d0f99d4ad	child	adoption
009c79f2-f612-483a-9199-d6d9ca361525	girlfriend	girlfriend
009c79f2-f612-483a-9199-d6d9ca361525	girlfriend	never
009c79f2-f612-483a-9199-d6d9ca361525	girlfriend	got
009c79f2-f612-483a-9199-d6d9ca361525	girlfriend	along
009c79f2-f612-483a-9199-d6d9ca361525	liked	girlfriend
009c79f2-f612-483a-9199-d6d9ca361525	liked	never
009c79f2-f612-483a-9199-d6d9ca361525	liked	got
009c79f2-f612-483a-9199-d6d9ca361525	liked	along
009c79f2-f612-483a-9199-d6d9ca361525	things	girlfriend
009c79f2-f612-483a-9199-d6d9ca361525	things	never
009c79f2-f612-483a-9199-d6d9ca361525	things	got
009c79f2-f612-483a-9199-d6d9ca361525	things	along
009c79f2-f612-483a-9199-d6d9ca361525	together	girlfriend
009c79f2-f612-483a-9199-d6d9ca361525	together	never
009c79f2-f612-483a-9199-d6d9ca361525	together	got
009c79f2-f612-483a-9199-d6d9ca361525	together	along
00bdcb0a-0619-4217-a177-4471c9509934	bought	didnt
00bdcb0a-0619-4217-a177-4471c9509934	bought	know
00bdcb0a-0619-4217-a177-4471c9509934	bought	ran
00bdcb0a-0619-4217-a177-4471c9509934	bought	money
00bdcb0a-0619-4217-a177-4471c9509934	second	didnt
00bdcb0a-0619-4217-a177-4471c9509934	second	know
00bdcb0a-0619-4217-a177-4471c9509934	second	ran
00bdcb0a-0619-4217-a177-4471c9509934	second	money
00bdcb0a-0619-4217-a177-4471c9509934	bank	didnt
00bdcb0a-0619-4217-a177-4471c9509934	bank	know
00bdcb0a-0619-4217-a177-4471c9509934	bank	ran
00bdcb0a-0619-4217-a177-4471c9509934	bank	money
00bdcb0a-0619-4217-a177-4471c9509934	could	didnt
00bdcb0a-0619-4217-a177-4471c9509934	could	know
00bdcb0a-0619-4217-a177-4471c9509934	could	ran
00bdcb0a-0619-4217-a177-4471c9509934	could	money
00bdcb0a-0619-4217-a177-4471c9509934	keep	didnt
00bdcb0a-0619-4217-a177-4471c9509934	keep	know
00bdcb0a-0619-4217-a177-4471c9509934	keep	ran
00bdcb0a-0619-4217-a177-4471c9509934	keep	money
00bdcb0a-0619-4217-a177-4471c9509934	saving	didnt
00bdcb0a-0619-4217-a177-4471c9509934	saving	know
00bdcb0a-0619-4217-a177-4471c9509934	saving	ran
00bdcb0a-0619-4217-a177-4471c9509934	saving	money
00bdcb0a-0619-4217-a177-4471c9509934	money	didnt
00bdcb0a-0619-4217-a177-4471c9509934	money	know
00bdcb0a-0619-4217-a177-4471c9509934	money	ran
00bdcb0a-0619-4217-a177-4471c9509934	money	money
00c4e875-144a-4c40-b83a-08a7e9926253	yao	judges
00c4e875-144a-4c40-b83a-08a7e9926253	yao	ate
00c4e875-144a-4c40-b83a-08a7e9926253	yao	yaos
00c4e875-144a-4c40-b83a-08a7e9926253	yao	vegetables
00c4e875-144a-4c40-b83a-08a7e9926253	yao	without
00c4e875-144a-4c40-b83a-08a7e9926253	yao	rewarding
00c4e875-144a-4c40-b83a-08a7e9926253	placed	judges
00c4e875-144a-4c40-b83a-08a7e9926253	placed	ate
00c4e875-144a-4c40-b83a-08a7e9926253	placed	yaos
00c4e875-144a-4c40-b83a-08a7e9926253	placed	vegetables
00c4e875-144a-4c40-b83a-08a7e9926253	placed	without
00c4e875-144a-4c40-b83a-08a7e9926253	placed	rewarding
00c4e875-144a-4c40-b83a-08a7e9926253	two	judges
00c4e875-144a-4c40-b83a-08a7e9926253	two	ate
00c4e875-144a-4c40-b83a-08a7e9926253	two	yaos
00c4e875-144a-4c40-b83a-08a7e9926253	two	vegetables
00c4e875-144a-4c40-b83a-08a7e9926253	two	without
00c4e875-144a-4c40-b83a-08a7e9926253	two	rewarding
00c4e875-144a-4c40-b83a-08a7e9926253	categories	judges
00c4e875-144a-4c40-b83a-08a7e9926253	categories	ate
00c4e875-144a-4c40-b83a-08a7e9926253	categories	yaos
00c4e875-144a-4c40-b83a-08a7e9926253	categories	vegetables
00c4e875-144a-4c40-b83a-08a7e9926253	categories	without
00c4e875-144a-4c40-b83a-08a7e9926253	categories	rewarding
00ee3a6e-813a-4057-9800-4b418015916e	taking	bed
00ee3a6e-813a-4057-9800-4b418015916e	taking	went
00ee3a6e-813a-4057-9800-4b418015916e	taking	sleep
00ee3a6e-813a-4057-9800-4b418015916e	trash	bed
00ee3a6e-813a-4057-9800-4b418015916e	trash	went
00ee3a6e-813a-4057-9800-4b418015916e	trash	sleep
00ee3a6e-813a-4057-9800-4b418015916e	bed	bed
00ee3a6e-813a-4057-9800-4b418015916e	bed	went
00ee3a6e-813a-4057-9800-4b418015916e	bed	sleep
00ee3a6e-813a-4057-9800-4b418015916e	still	bed
00ee3a6e-813a-4057-9800-4b418015916e	still	went
00ee3a6e-813a-4057-9800-4b418015916e	still	sleep
00ee3a6e-813a-4057-9800-4b418015916e	smelled	bed
00ee3a6e-813a-4057-9800-4b418015916e	smelled	went
00ee3a6e-813a-4057-9800-4b418015916e	smelled	sleep
016993c6-3327-4957-9e70-9d3dac8848a4	got	put
016993c6-3327-4957-9e70-9d3dac8848a4	got	sweater
016993c6-3327-4957-9e70-9d3dac8848a4	lot	put
016993c6-3327-4957-9e70-9d3dac8848a4	lot	sweater
016993c6-3327-4957-9e70-9d3dac8848a4	positive	put
016993c6-3327-4957-9e70-9d3dac8848a4	positive	sweater
016993c6-3327-4957-9e70-9d3dac8848a4	attention	put
016993c6-3327-4957-9e70-9d3dac8848a4	attention	sweater
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	went	bought
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	went	one
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	went	desks
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	home	bought
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	home	one
