InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp	rightanswer_len	wronganswer_len	diff_len	rightanswer_numwords	wronganswer_numwords	diff_numwords
0976d6a0-08d4-4d71-8c86-546bb1ef9831	0.0	Amy decided to make curtains for her living room. She sewed for hours to complete the job. When she was finished she hung the curtains. The seams were off, and the hem was lopsided.	Amy decided to hire a professional.	Amy made curtains for the rest of the rooms in her house.	1	0	0	0	1	0	0	0	0	0	0	0	35	57	0	6	12	0
5a7b4ec6-f0f7-4869-a299-efcd9fa7d2f2	0.1	Jane met Greg in an internet chat room. They agreed to meet at starbucks for coffee. They hit it off surprisingly well. They agreed to meet again the next day.	Jane thought Greg might be a potential boyfriend.	Jane thought Greg wouldn't make a good friend.	1	0	0	0	1	0	0	0	0	0	0	1	49	46	1	8	8	0
1194a479-2db4-4298-accf-c69ce6f0a356	0.1	Jerry received several gifts for his birthday. Jerry opened up his presents one by one. One gift with nice wrapping caught his eye . Jerry grabbed the gift and unwrapped it.	Jerry was excited to see what was under the paper.	Ben was nonplussed about opening the gift.	1	1	0	0	1	0	0	0	0	0	0	0	50	42	1	10	7	1
c7f746de-0661-4536-8f6e-03ad864c93c6	0.1	Eric's mother made him practice piano everyday. He also had piano lessons every week. He was really unprepared for his lesson this week. His teacher screamed at him for not practicing.	Eric was mortified.	Eric's teacher was pleased with his progress.	1	0	0	1	1	0	0	0	0	0	0	0	19	45	0	3	7	0
a1c9e490-4a64-436d-b998-c1d43b61f1f3	0.1	Coy needed new sneakers. She went to the store and examined their selection. She settled on a lovely blue pair. And the price was just right, too!	Coy bought the sneakers.	Coy bought a more expensive pair of sneakers.	1	0	0	0	1	0	0	0	0	0	1	0	24	45	0	4	8	0
7394305c-d7ce-48ff-bd2e-bf6e1bbad6c0	0.1	Joan saw a TV show about coupon queens. She decided to join in this thrifty enterprise. Joan's boss found her clipping coupons instead of working. He told Joan she was no longer needed on the job.	Joan regretted her new hobby.	Joan was glad she could clip coupons at work.	1	0	0	0	1	0	0	1	0	0	0	0	29	45	0	5	9	0
f21adcb9-3f92-412d-b19b-22011928c584	0.1	They had heard about potty training bunnies. It seemed like a good idea to try that. After a while they decided to leave her out of her cage. It seemed to go very well!	The bunny learned to use the litter box!	They had to clean up after the bunny every day.	1	0	0	0	1	0	0	1	0	0	0	0	40	47	0	8	10	0
8a08d003-5758-43c6-b3d2-2b7f3e2634df	0.1	Tom and Casey have been married for twenty years. Tom had an affair with Susan. Casey caught Tom and Susan on a dinner date. Casey camped outside in front of the cafe.	When they exited the cafe, Casey confronted Tom.	Casey congratulated Tom and Susan when they came out.	1	0	0	1	1	0	0	0	0	0	0	0	48	53	0	8	9	0
cc17cf01-2e94-454f-b5f9-9b819e31a2e5	0.2	Eric was walking around a pond at a local park. He saw a turtle on a rock a few feet from the shore. He stepped into the water to try to catch the turtle. Suddenly, he sank knee deep into the mud and got stuck.	Someone walking on the shore ran over to rescue Eric.	Eric rescued the turtle from the deep mud.	1	0	0	0	1	1	0	0	0	0	0	1	53	42	1	10	8	1
df269aa8-ee3b-4dfa-a1be-3e411948d57b	0.2	I went to the store to buy some paper. The clerk looked at me weird when I brought it up. He run it up anyways. As I left the store, I realized why he looked at me weird.	The paper I bought was for little kids.	The paper I bought was a reasonable purchase.	1	1	0	0	1	0	0	0	0	0	1	0	39	45	0	8	8	0
