	word	count
2689	greattime	21
76	wenthome	16
2980	nextday	14
2929	saidyes	11
1699	decidedbuy	7
1332	goback	6
3858	decidedgo	6
2771	wonderfultime	5
1251	rightaway	5
3793	icecream	5
82	gothome	5
2028	gohome	5
3055	feltbetter	5
3201	nexttime	4
1033	muchbetter	4
2011	madeplans	4
1789	lotfun	4
1884	learnedlesson	4
3802	greatday	4
1379	gotsick	4
3490	goodtime	4
2823	feltgood	4
667	enoughmoney	4
503	decidedtake	4
4171	decidedliked	4
3667	becamegreat	4
1306	wholeday	3
851	wentsleep	3
3809	twohours	3
1219	spentrest	3
3776	sooncould	3
927	savingmoney	3
3407	savedenough	3
2331	ranaway	3
97	passedtest	3
3214	oneday	3
3946	newfavorite	3
2189	newcar	3
1602	madefun	3
2737	lotmoney	3
840	learnedlot	3
166	getbetter	3
2499	funplaying	3
4096	firsttime	3
735	finallyable	3
3122	feltproud	3
2871	feltmuch	3
1777	everyday	3
1976	eventuallygot	3
3947	decidedstart	3
173	decidednever	3
1106	decidedeat	3
658	cameback	3
1817	buynew	3
3260	bestfriends	3
64	becamegood	3
805	backhome	3
2319	ableget	3
650	ablebuy	3
2367	yearlater	2
1544	wouldtry	2
2550	worktasty	2
3468	wishedcould	2
1906	wholefamily	2
2542	wentstore	2
139	wentinside	2
3788	wentgot	2
824	wentback	2
3135	wentaway	2
370	weightloss	2
2374	tookemergency	2
296	toldwant	2
3577	timetogether	2
3482	timemaking	2
1102	timemade	2
2515	timegot	2
1570	timego	2
1063	storegot	2
1162	startedgetting	2
3622	startedfeel	2
2488	spentafternoon	2
1716	spendingtime	2
3988	soongot	2
925	soonbecame	2
272	socialmedia	2
2570	skillsimproved	2
3437	seconddate	2
3259	sadlost	2
1715	runaway	2
3249	restnight	2
70	restday	2
4115	reallyenjoyed	2
220	reallyenjoy	2
525	realizedloved	2
1289	ranhouse	2
2152	proudhard	2
1298	proudefforts	2
2562	policecome	2
4128	policecame	2
3489	playedgame	2
721	phonebroke	2
3125	peanutbutter	2
2305	parentsupset	2
293	parentsproud	2
2122	newphone	2
2839	newlife	2
3169	newhome	2
424	newfriends	2
3826	namenew	2
241	muchcareful	2
3402	mothersaid	2
4150	moneybuy	2
770	mommade	2
2320	madeteam	2
1288	madegreat	2
3957	luckilyginas	2
3345	lovednew	2
105	lotbetter	2
2940	lookingforward	2
1258	lookedgreat	2
2867	likepeople	2
768	likedmuch	2
3352	imsure	2
16	husbandfound	2
2473	hopedwouldnt	2
2231	heartbroken	2
3532	headachewent	2
1074	hardwork	2
832	gratefulgave	2
410	gotwork	2
2868	gotmeet	2
1801	gotmarried	2
3471	gotlot	2
3975	gotgreat	2
2199	gotbetter	2
3707	gobed	2
329	girlfriendliked	2
1309	gettingbetter	2
2104	gettingaway	2
2852	getnew	2
1488	getcar	2
2615	friendswent	2
4069	friendslot	2
2281	friendloves	2
1450	foundpeace	2
1641	foundexactly	2
3634	flewkite	2
2069	firstsight	2
2332	firstprize	2
230	firstplace	2
18	findperfect	2
4253	findhouse	2
2035	finallygot	2
690	finallybeat	2
1680	feltlike	2
2192	feltguilty	2
1995	feltfrustrated	2
3180	fellasleep	2
3801	feellike	2
941	feelingbetter	2
4169	feelbetter	2
152	feelbad	2
3565	familythought	2
3762	familyloved	2
2414	excitednew	2
711	exactlylooking	2
117	everyoneclass	2
1324	eventuallystopped	2
3672	eventuallymoved	2
2811	enjoyedfirst	2
4047	endday	2
3273	emergencyroom	2
674	drovehome	2
1849	driverslicense	2
3394	didntneed	2
3969	didntmatter	2
2680	didntlike	2
639	decidedwould	2
3616	decidedtry	2
515	decidednew	2
972	decidedmake	2
2484	decidedcareful	2
2606	decidedcall	2
2965	dayslater	2
4157	dayschool	2
74	dadtook	2
3992	criedmom	2
3200	couldshow	2
1511	couldkeep	2
2010	couldgo	2
1683	comeback	2
225	coffeeshop	2
43	calledpolice	2
3367	businessbecame	2
1876	broughthome	2
3472	boughtfood	2
49	bestfriend	2
1279	bestday	2
2844	becamesuccess	2
326	becamesad	2
3008	becamefriends	2
377	becamedepressed	2
863	becamebest	2
